project_id,payment_sequence,payment_date,payment_amount,progress_percent,sanction_amount,data_source
WS/  MP620/2024-2025/133166-Construction of buildings for community cultural activities,1,2024-07-14,149155.5,30,497185.0,DEMO / SIMULATED DATA
WS/  MP620/2024-2025/133166-Construction of buildings for community cultural activities,2,2024-07-19,298311.0,40,497185.0,DEMO / SIMULATED DATA
WS/  MP620/2025-2026/133167-Construction of rooms and halls in school and colleges,1,2025-11-02,150000.0,30,500000.0,DEMO / SIMULATED DATA
WS/  MP620/2025-2026/133167-Construction of rooms and halls in school and colleges,2,2025-12-17,200000.0,100,500000.0,DEMO / SIMULATED DATA
WS/  MP620/2024-2025/133190-Construction of buildings for community cultural activities,1,2024-11-07,135000.0,30,450000.0,DEMO / SIMULATED DATA
WS/  MP620/2024-2025/133190-Construction of buildings for community cultural activities,2,2024-12-22,135000.0,60,450000.0,DEMO / SIMULATED DATA
WS/  MP620/2024-2025/133190-Construction of buildings for community cultural activities,3,2025-02-05,180000.0,100,450000.0,DEMO / SIMULATED DATA
WS/  MP620/2025-2026/133191-Construction of buildings for community cultural activities,1,2025-07-13,450000.0,30,1500000.0,DEMO / SIMULATED DATA
WS/  MP620/2025-2026/133191-Construction of buildings for community cultural activities,2,2025-08-27,600000.0,100,1500000.0,DEMO / SIMULATED DATA
WS/  MP620/2024-2025/133301-Construction of buildings for community cultural activities,1,2024-10-06,119402.7,30,398009.0,DEMO / SIMULATED DATA
WS/  MP620/2024-2025/133301-Construction of buildings for community cultural activities,2,2024-11-20,119402.7,60,398009.0,DEMO / SIMULATED DATA
WS/  MP620/2024-2025/133301-Construction of buildings for community cultural activities,3,2025-01-04,159203.6,100,398009.0,DEMO / SIMULATED DATA
WS/  MP620/2024-2025/133303-Construction of buildings for community cultural activities,1,2024-09-08,119731.2,30,399104.0,DEMO / SIMULATED DATA
WS/  MP620/2024-2025/133303-Construction of buildings for community cultural activities,2,2024-10-23,119731.2,60,399104.0,DEMO / SIMULATED DATA
WS/  MP620/2024-2025/133303-Construction of buildings for community cultural activities,3,2024-12-07,159641.6,100,399104.0,DEMO / SIMULATED DATA
WS/  MP620/2024-2025/133304-Construction of buildings for community cultural activities,1,2024-10-06,118846.2,30,396154.0,DEMO / SIMULATED DATA
WS/  MP620/2024-2025/133304-Construction of buildings for community cultural activities,2,2024-11-20,118846.2,60,396154.0,DEMO / SIMULATED DATA
WS/  MP620/2024-2025/133304-Construction of buildings for community cultural activities,3,2025-01-04,158461.6,100,396154.0,DEMO / SIMULATED DATA
WS/  MP620/2025-2026/133305-Construction of buildings for community cultural activities,1,2025-07-18,120000.0,30,400000.0,DEMO / SIMULATED DATA
WS/  MP620/2025-2026/133305-Construction of buildings for community cultural activities,2,2025-09-01,160000.0,100,400000.0,DEMO / SIMULATED DATA
WS/  MP620/2024-2025/133306-Construction of buildings for community cultural activities,1,2025-04-28,148688.1,30,495627.0,DEMO / SIMULATED DATA
WS/  MP620/2024-2025/133306-Construction of buildings for community cultural activities,2,2025-06-12,148688.1,60,495627.0,DEMO / SIMULATED DATA
WS/  MP620/2024-2025/133306-Construction of buildings for community cultural activities,3,2025-07-27,198250.8,100,495627.0,DEMO / SIMULATED DATA
WS/  MP620/2024-2025/133307-Construction of buildings for community cultural activities,1,2024-10-01,119686.5,30,398955.0,DEMO / SIMULATED DATA
WS/  MP620/2024-2025/133307-Construction of buildings for community cultural activities,2,2024-11-15,159582.0,100,398955.0,DEMO / SIMULATED DATA
WS/  MP620/2024-2025/133308-Construction of buildings for community cultural activities,1,2024-10-01,119791.2,30,399304.0,DEMO / SIMULATED DATA
WS/  MP620/2024-2025/133308-Construction of buildings for community cultural activities,2,2024-11-15,159721.6,100,399304.0,DEMO / SIMULATED DATA
WS/  MP620/2024-2025/133309-Construction of buildings for community cultural activities,1,2025-04-28,148509.3,30,495031.0,DEMO / SIMULATED DATA
WS/  MP620/2024-2025/133309-Construction of buildings for community cultural activities,2,2025-06-12,148509.3,60,495031.0,DEMO / SIMULATED DATA
WS/  MP620/2024-2025/133309-Construction of buildings for community cultural activities,3,2025-07-27,198012.4,100,495031.0,DEMO / SIMULATED DATA
WS/  MP620/2024-2025/133310-Construction of buildings for community cultural activities,1,2024-10-06,74274.9,30,247583.0,DEMO / SIMULATED DATA
WS/  MP620/2024-2025/133310-Construction of buildings for community cultural activities,2,2024-11-20,99033.2,100,247583.0,DEMO / SIMULATED DATA
WS/  MP620/2024-2025/133311-Construction of buildings for community cultural activities,1,2024-10-06,75000.0,30,250000.0,DEMO / SIMULATED DATA
WS/  MP620/2024-2025/133311-Construction of buildings for community cultural activities,2,2024-11-20,75000.0,60,250000.0,DEMO / SIMULATED DATA
WS/  MP620/2024-2025/133311-Construction of buildings for community cultural activities,3,2025-01-04,100000.0,100,250000.0,DEMO / SIMULATED DATA
WS/  MP620/2024-2025/133312-Construction of buildings for community cultural activities,1,2024-09-08,149427.3,30,498091.0,DEMO / SIMULATED DATA
WS/  MP620/2024-2025/133312-Construction of buildings for community cultural activities,2,2024-10-23,199236.4,100,498091.0,DEMO / SIMULATED DATA
"WS/MP418/2024-2025/133409-Construction of roads, link roads, pathways or any other road with or without drainage system",1,2024-08-28,134438.1,30,448127.0,DEMO / SIMULATED DATA
"WS/MP418/2024-2025/133409-Construction of roads, link roads, pathways or any other road with or without drainage system",2,2024-10-12,179250.8,100,448127.0,DEMO / SIMULATED DATA
WS/MP498/2024-2025/133447-Construction of culverts and bridges,1,2024-09-21,480887.1,30,1602957.0,DEMO / SIMULATED DATA
WS/MP498/2024-2025/133447-Construction of culverts and bridges,2,2024-11-05,641182.8,100,1602957.0,DEMO / SIMULATED DATA
"WS/MP577/2025-2026/133549-Construction of roads, link roads, pathways or any other road with or without drainage system",1,2025-05-26,75000.0,30,250000.0,DEMO / SIMULATED DATA
"WS/MP577/2025-2026/133549-Construction of roads, link roads, pathways or any other road with or without drainage system",2,2025-07-10,100000.0,100,250000.0,DEMO / SIMULATED DATA
"WS/MP577/2025-2026/133550-Construction of roads, link roads, pathways or any other road with or without drainage system",1,2025-11-21,73709.1,30,245697.0,DEMO / SIMULATED DATA
"WS/MP577/2025-2026/133550-Construction of roads, link roads, pathways or any other road with or without drainage system",2,2026-01-05,73709.1,60,245697.0,DEMO / SIMULATED DATA
"WS/MP577/2025-2026/133550-Construction of roads, link roads, pathways or any other road with or without drainage system",3,2026-02-19,98278.8,100,245697.0,DEMO / SIMULATED DATA
"WS/MP577/2025-2026/133551-Construction of roads, link roads, pathways or any other road with or without drainage system",1,2025-12-01,72631.5,30,242105.0,DEMO / SIMULATED DATA
"WS/MP577/2025-2026/133551-Construction of roads, link roads, pathways or any other road with or without drainage system",2,2026-01-15,72631.5,60,242105.0,DEMO / SIMULATED DATA
"WS/MP577/2025-2026/133551-Construction of roads, link roads, pathways or any other road with or without drainage system",3,2026-03-01,96842.0,100,242105.0,DEMO / SIMULATED DATA
"WS/MP577/2025-2026/133552-Construction of roads, link roads, pathways or any other road with or without drainage system",1,2025-04-16,75000.0,30,250000.0,DEMO / SIMULATED DATA
"WS/MP577/2025-2026/133552-Construction of roads, link roads, pathways or any other road with or without drainage system",2,2025-04-21,75000.0,60,250000.0,DEMO / SIMULATED DATA
"WS/MP577/2025-2026/133552-Construction of roads, link roads, pathways or any other road with or without drainage system",3,2025-04-26,150000.0,40,250000.0,DEMO / SIMULATED DATA
"WS/MP577/2025-2026/133553-Construction of roads, link roads, pathways or any other road with or without drainage system",1,2025-11-21,73709.1,30,245697.0,DEMO / SIMULATED DATA
"WS/MP577/2025-2026/133553-Construction of roads, link roads, pathways or any other road with or without drainage system",2,2026-01-05,98278.8,100,245697.0,DEMO / SIMULATED DATA
WS/MP577/2025-2026/133554-Construction of shelters for animals,1,2025-12-01,73529.4,30,245098.0,DEMO / SIMULATED DATA
WS/MP577/2025-2026/133554-Construction of shelters for animals,2,2026-01-15,73529.4,60,245098.0,DEMO / SIMULATED DATA
WS/MP577/2025-2026/133554-Construction of shelters for animals,3,2026-03-01,98039.2,100,245098.0,DEMO / SIMULATED DATA
"WS/MP577/2025-2026/133556-Construction of roads, link roads, pathways or any other road with or without drainage system",1,2025-11-21,73709.1,30,245697.0,DEMO / SIMULATED DATA
"WS/MP577/2025-2026/133556-Construction of roads, link roads, pathways or any other road with or without drainage system",2,2026-01-05,73709.1,60,245697.0,DEMO / SIMULATED DATA
