source,target,weight,total_amount
MP:Pralhad Venkatesh Joshi,CONST:DHARWAD,26,13261770.0
CONST:DHARWAD,IDA:DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),23,10770363.0
CONST:DHARWAD,IDA:HAVERI(DEPUTY COMMISSIONER HAVERI_IDA),3,2491407.0
IDA:DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),CONST:BIJAPUR(SC),1,1000000.0
IDA:HAVERI(DEPUTY COMMISSIONER HAVERI_IDA),CONST:HAVERI,34,18750000.0
MP:Pradeep Kumar Singh,CONST:ARARIA,26,62323127.0
CONST:ARARIA,IDA:ARARIA(DISTRICT PLANNING OFFICER ARARIA_IDA),26,62323127.0
MP:Dr Sukanta Majumdar,CONST:BALURGHAT,79,40133854.0
CONST:BALURGHAT,IDA:Dakshin Dinajpur(DISTRICT MAGISTRATE DINAJPUR DAKSHIN_IDA),79,40133854.0
MP:Jaswantsinh Sumanbhai Bhabhor,CONST:DAHOD(ST),128,43181038.0
CONST:DAHOD(ST),IDA:Dahod(DISTRICT COLLECTOR DOHAD_IDA),123,40881038.0
CONST:DAHOD(ST),IDA:Mahisagar(COLLECTOR MAHISAGAR_IDA),5,2300000.0
MP:SARABJEET SINGH KHALSA,CONST:FARIDKOT(SC),186,45942087.0
CONST:FARIDKOT(SC),IDA:FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),109,22806610.0
CONST:FARIDKOT(SC),IDA:SRI MUKTSAR SAHIB(DEPUTY COMMISSIONER SRI MUKTSAR SAHIB_IDA),9,1485000.0
CONST:FARIDKOT(SC),IDA:MOGA(Deputy Commissioner Moga),65,20585000.0
CONST:FARIDKOT(SC),IDA:MANSA(DEPUTY COMMISSIONER MANSA_IDA),1,465477.0
CONST:FARIDKOT(SC),IDA:BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA),2,600000.0
IDA:SRI MUKTSAR SAHIB(DEPUTY COMMISSIONER SRI MUKTSAR SAHIB_IDA),CONST:BHATINDA,17,6909774.0
IDA:SRI MUKTSAR SAHIB(DEPUTY COMMISSIONER SRI MUKTSAR SAHIB_IDA),CONST:LUDHIANA,4,1920000.0
IDA:SRI MUKTSAR SAHIB(DEPUTY COMMISSIONER SRI MUKTSAR SAHIB_IDA),CONST:FIROZPUR,41,9765453.0
MP:Gajendra Singh Patel,CONST:KHARGONE(ST),136,48782375.0
CONST:KHARGONE(ST),IDA:Khargone (West Nimar)(DISTRICT COLLECTOR KHARGONE_IDA),51,21625891.0
CONST:KHARGONE(ST),IDA:BARWANI(DISTRICT COLLECTOR BADWANI_IDA),84,26156484.0
CONST:KHARGONE(ST),IDA:DHAR(DISTRICT COLLECTOR DHAR_IDA),1,1000000.0
IDA:Khargone (West Nimar)(DISTRICT COLLECTOR KHARGONE_IDA),CONST:KHANDWA,46,14531904.0
MP:Ramprit Mandal,CONST:JHANJHARPUR,82,86553079.0
CONST:JHANJHARPUR,IDA:MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA),81,85364059.0
CONST:JHANJHARPUR,IDA:ROHTAS(District Planning Officer Rohtas_IDA),1,1189020.0
IDA:MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA),CONST:MADHUBANI,4,3186147.0
MP:SUDHAKAR SINGH,CONST:BUXAR,85,79490685.0
CONST:BUXAR,IDA:BUXAR(DISTRICT PLANNING OFFICER BUXAR_IDA),20,22885096.0
CONST:BUXAR,IDA:KAIMUR (BHABUA)(DISTRICT PLANNING OFFICER KAIMUR BHABUA_IDA),60,49144930.0
CONST:BUXAR,IDA:ROHTAS(District Planning Officer Rohtas_IDA),5,7460659.0
IDA:KAIMUR (BHABUA)(DISTRICT PLANNING OFFICER KAIMUR BHABUA_IDA),CONST:SASARAM(SC),21,18245714.0
MP:Anto Antony,CONST:PATHANAMTHITTA,104,36369804.0
CONST:PATHANAMTHITTA,IDA:KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA),42,13185627.0
CONST:PATHANAMTHITTA,IDA:PATHANAMTHITTA(DISTRICT COLLECTOR PATHANAMTHITTA_IDA),62,23184177.0
IDA:KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA),CONST:MAVELIKKARA(SC),4,4505555.0
IDA:KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA),CONST:KOTTAYAM,70,27785255.0
MP:Shri NK Premachandran,CONST:KOLLAM,66,55977928.34
CONST:KOLLAM,IDA:KOLLAM(DISTRICT COLLECTOR KOLLAM_IDA),66,55977928.34
IDA:KOLLAM(DISTRICT COLLECTOR KOLLAM_IDA),CONST:MAVELIKKARA(SC),41,24840266.0
IDA:KOLLAM(DISTRICT COLLECTOR KOLLAM_IDA),CONST:ALAPPUZHA,2,2900000.0
MP:DR RANI SRI KUMAR,CONST:TENKASI(SC),62,61319117.0
CONST:TENKASI(SC),IDA:TENKASI(DISTRICT COLLECTOR TENKASI_IDA),43,51349117.0
CONST:TENKASI(SC),IDA:VIRUDHUNAGAR(DISTRICT COLLECTOR VIRUDHUNAGAR_IDA),19,9970000.0
