node_id,label,type,work_count,total_amount,avg_risk,critical_count,degree_centrality,agency_network_score
MP:Pralhad Venkatesh Joshi,Pralhad Venkatesh Joshi,MP,26,13261770.0,33.3,2,0.0006,30.0
CONST:DHARWAD,DHARWAD,Constituency,26,13261770.0,33.3,2,0.0018,30.0
IDA:DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),IDA,24,11770363.0,34.0,3,0.0012,30.0
IDA:HAVERI(DEPUTY COMMISSIONER HAVERI_IDA),HAVERI(DEPUTY COMMISSIONER HAVERI_IDA),IDA,37,21241407.0,46.4,12,0.0012,45.0
MP:Pradeep Kumar Singh,Pradeep Kumar Singh,MP,26,62323127.0,19.4,0,0.0006,15.0
CONST:ARARIA,ARARIA,Constituency,26,62323127.0,19.4,0,0.0012,15.0
IDA:ARARIA(DISTRICT PLANNING OFFICER ARARIA_IDA),ARARIA(DISTRICT PLANNING OFFICER ARARIA_IDA),IDA,26,62323127.0,19.4,0,0.0006,15.0
MP:Dr Sukanta Majumdar,Dr Sukanta Majumdar,MP,79,40133854.0,17.9,0,0.0006,15.0
CONST:BALURGHAT,BALURGHAT,Constituency,79,40133854.0,17.9,0,0.0012,15.0
IDA:Dakshin Dinajpur(DISTRICT MAGISTRATE DINAJPUR DAKSHIN_IDA),Dakshin Dinajpur(DISTRICT MAGISTRATE DINAJPUR DAKSHIN_IDA),IDA,79,40133854.0,17.9,0,0.0006,15.0
MP:Jaswantsinh Sumanbhai Bhabhor,Jaswantsinh Sumanbhai Bhabhor,MP,128,43181038.0,55.0,51,0.0006,70.0
CONST:DAHOD(ST),DAHOD(ST),Constituency,128,43181038.0,55.0,51,0.0018,70.0
IDA:Dahod(DISTRICT COLLECTOR DOHAD_IDA),Dahod(DISTRICT COLLECTOR DOHAD_IDA),IDA,123,40881038.0,55.5,51,0.0006,70.0
MP:SARABJEET SINGH KHALSA,SARABJEET SINGH KHALSA,MP,186,45942087.0,47.3,90,0.0006,45.0
CONST:FARIDKOT(SC),FARIDKOT(SC),Constituency,186,45942087.0,47.3,90,0.0037,45.0
IDA:FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),IDA,109,22806610.0,41.1,46,0.0006,45.0
IDA:SRI MUKTSAR SAHIB(DEPUTY COMMISSIONER SRI MUKTSAR SAHIB_IDA),SRI MUKTSAR SAHIB(DEPUTY COMMISSIONER SRI MUKTSAR SAHIB_IDA),IDA,71,20080227.0,27.0,11,0.0025,45.0
MP:Gajendra Singh Patel,Gajendra Singh Patel,MP,136,48782375.0,30.4,21,0.0006,45.0
CONST:KHARGONE(ST),KHARGONE(ST),Constituency,136,48782375.0,30.4,21,0.0025,45.0
IDA:Khargone (West Nimar)(DISTRICT COLLECTOR KHARGONE_IDA),Khargone (West Nimar)(DISTRICT COLLECTOR KHARGONE_IDA),IDA,97,36157795.0,48.1,51,0.0012,45.0
IDA:BARWANI(DISTRICT COLLECTOR BADWANI_IDA),BARWANI(DISTRICT COLLECTOR BADWANI_IDA),IDA,84,26156484.0,30.1,11,0.0006,45.0
MP:Ramprit Mandal,Ramprit Mandal,MP,82,86553079.0,39.9,5,0.0006,45.0
CONST:JHANJHARPUR,JHANJHARPUR,Constituency,82,86553079.0,39.9,5,0.0018,45.0
IDA:MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA),MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA),IDA,85,88550206.0,39.0,5,0.0012,45.0
MP:SUDHAKAR SINGH,SUDHAKAR SINGH,MP,85,79490685.0,32.1,4,0.0006,30.0
CONST:BUXAR,BUXAR,Constituency,85,79490685.0,32.1,4,0.0025,30.0
IDA:BUXAR(DISTRICT PLANNING OFFICER BUXAR_IDA),BUXAR(DISTRICT PLANNING OFFICER BUXAR_IDA),IDA,20,22885096.0,39.7,2,0.0006,30.0
IDA:KAIMUR (BHABUA)(DISTRICT PLANNING OFFICER KAIMUR BHABUA_IDA),KAIMUR (BHABUA)(DISTRICT PLANNING OFFICER KAIMUR BHABUA_IDA),IDA,81,67390644.0,29.3,2,0.0012,30.0
MP:Anto Antony,Anto Antony,MP,104,36369804.0,45.5,17,0.0006,45.0
CONST:PATHANAMTHITTA,PATHANAMTHITTA,Constituency,104,36369804.0,45.5,17,0.0018,45.0
IDA:KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA),KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA),IDA,116,45476437.0,37.3,4,0.0018,30.0
MP:Shri NK Premachandran,Shri NK Premachandran,MP,66,55977928.34,26.2,0,0.0006,15.0
CONST:KOLLAM,KOLLAM,Constituency,66,55977928.34,26.2,0,0.0012,15.0
IDA:KOLLAM(DISTRICT COLLECTOR KOLLAM_IDA),KOLLAM(DISTRICT COLLECTOR KOLLAM_IDA),IDA,109,83718194.34,24.5,0,0.0018,15.0
MP:DR RANI SRI KUMAR,DR RANI SRI KUMAR,MP,62,61319117.0,34.9,6,0.0006,45.0
CONST:TENKASI(SC),TENKASI(SC),Constituency,62,61319117.0,34.9,6,0.0018,45.0
IDA:TENKASI(DISTRICT COLLECTOR TENKASI_IDA),TENKASI(DISTRICT COLLECTOR TENKASI_IDA),IDA,47,57319815.0,44.3,9,0.0012,45.0
MP:SATPAL BRAHAMCHARI,SATPAL BRAHAMCHARI,MP,36,25826326.0,37.9,3,0.0006,30.0
CONST:SONEPAT,SONEPAT,Constituency,36,25826326.0,37.9,3,0.0018,30.0
IDA:SONIPAT(DEPUTY COMMISSIONER SONEPAT_IDA),SONIPAT(DEPUTY COMMISSIONER SONEPAT_IDA),IDA,18,11651000.0,44.0,2,0.0006,30.0
MP:Pratima Mondal,Pratima Mondal,MP,154,67687186.0,25.6,0,0.0006,15.0
CONST:JOYNAGAR(SC),JOYNAGAR(SC),Constituency,154,67687186.0,25.6,0,0.0012,15.0
IDA:South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),IDA,543,205965378.0,26.4,1,0.0025,15.0
