node_id,label,type,work_count,total_amount,avg_risk,critical_count,degree_centrality,agency_network_score
IDA:BEED(DISTRICT COLLECTOR BEED_IDA),BEED(DISTRICT COLLECTOR BEED_IDA),IDA,32,31063933.0,70.5,26,0.0006,85.0
IDA:THENI(District Collector Theni_5),THENI(District Collector Theni_5),IDA,17,11575000.0,72.3,13,0.0006,85.0
IDA:MUMBAI SUBURBAN(DISTRICT COLLECTOR MUMBAI SUBURBAN_IDA),MUMBAI SUBURBAN(DISTRICT COLLECTOR MUMBAI SUBURBAN_IDA),IDA,75,129500000.0,71.2,58,0.0018,85.0
IDA:KATIHAR(DISTRICT PLANNING OFFICER KATIHAR_IDA),KATIHAR(DISTRICT PLANNING OFFICER KATIHAR_IDA),IDA,27,26660060.0,74.9,27,0.0006,85.0
IDA:MUNGER(DISTRICT PLANNING OFFICER MUNGER_IDA),MUNGER(DISTRICT PLANNING OFFICER MUNGER_IDA),IDA,5,4700000.0,74.6,5,0.0006,85.0
IDA:SHEIKHPURA(DISTRICT PLANNING OFFICER SHEIKHPURA_IDA),SHEIKHPURA(DISTRICT PLANNING OFFICER SHEIKHPURA_IDA),IDA,5,4967265.0,75.2,5,0.0006,85.0
IDA:RAJGARH(DISTRICT COLLECTOR RAJGARH_IDA),RAJGARH(DISTRICT COLLECTOR RAJGARH_IDA),IDA,112,48678603.0,73.2,106,0.0006,85.0
IDA:JAMUI(DISTRICT PLANNING OFFICER JAMUI_IDA),JAMUI(DISTRICT PLANNING OFFICER JAMUI_IDA),IDA,55,22487210.0,72.2,54,0.0006,85.0
IDA:SIWAN(DISTRICT PLANNING OFFICER SIWAN_IDA),SIWAN(DISTRICT PLANNING OFFICER SIWAN_IDA),IDA,57,56845578.0,71.0,55,0.0006,85.0
IDA:MAUGANJ(District Collector Mauganj_IDA),MAUGANJ(District Collector Mauganj_IDA),IDA,13,11469230.0,72.2,13,0.0006,85.0
IDA:UMARIA(District Collector Umariya_IDA),UMARIA(District Collector Umariya_IDA),IDA,19,7045086.0,76.1,19,0.0006,85.0
IDA:JALAUN(DISTRICT MAGISTRATE JALAUN_IDA),JALAUN(DISTRICT MAGISTRATE JALAUN_IDA),IDA,115,27945000.0,75.4,115,0.0006,85.0
IDA:Maihar(District Collector Maihar_IDA),Maihar(District Collector Maihar_IDA),IDA,14,2618786.0,73.3,14,0.0006,85.0
