work_id_1,work_id_2,mp_name,constituency,state,description_1,description_2,similarity_score,sanction_amount_1,sanction_amount_2,sanction_date_1,sanction_date_2,days_difference,potential_split_work,audit_alert
"WS/MP18120/2025-2026/169208-Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18120/2025-2026/169210-Construction of roads, link roads, pathways or any other road with or without drainage system",AASHTIKAR PATIL NAGESH BAPURAO,HINGOLI,Maharashtra,CC Road And Drainage at Ashti Tq. Hadgaon Dist Nanded.,CC Road And Drainage at Ashti Tq. Hadgaon Dist Nanded.,1.0,4978547.0,4974167.0,2026-02-20,2026-02-20,0,True,Potentially Similar Work — Requires Human Verification
WS/MP18149/2025-2026/182981-Street lights,WS/MP18149/2025-2026/183228-Street lights,SAMBIT PATRA,PURI,Odisha,Installation of Solar Light at Creamation Ground.,Installation of Solar Light at Creamation Ground.,1.0,40000.0,40000.0,2025-05-19,2025-09-02,106,False,Potentially Similar Work — Requires Human Verification
WS/MP18149/2025-2026/182981-Street lights,WS/MP18149/2025-2026/183218-Street lights,SAMBIT PATRA,PURI,Odisha,Installation of Solar Light at Creamation Ground.,Installation of Solar Light at Creamation Ground.,1.0,40000.0,40000.0,2025-05-19,2025-09-02,106,False,Potentially Similar Work — Requires Human Verification
WS/MP18149/2025-2026/182981-Street lights,WS/MP18149/2025-2026/183219-Street lights,SAMBIT PATRA,PURI,Odisha,Installation of Solar Light at Creamation Ground.,Installation of Solar Light at Creamation Ground.,1.0,40000.0,40000.0,2025-05-19,2025-09-02,106,False,Potentially Similar Work — Requires Human Verification
WS/MP18149/2025-2026/182981-Street lights,WS/MP18149/2025-2026/183220-Street lights,SAMBIT PATRA,PURI,Odisha,Installation of Solar Light at Creamation Ground.,Installation of Solar Light at Creamation Ground.,1.0,40000.0,40000.0,2025-05-19,2025-09-02,106,False,Potentially Similar Work — Requires Human Verification
WS/MP18149/2025-2026/182981-Street lights,WS/MP18149/2025-2026/183221-Street lights,SAMBIT PATRA,PURI,Odisha,Installation of Solar Light at Creamation Ground.,Installation of Solar Light at Creamation Ground.,1.0,40000.0,40000.0,2025-05-19,2025-09-02,106,False,Potentially Similar Work — Requires Human Verification
WS/MP18149/2025-2026/182981-Street lights,WS/MP18149/2025-2026/183222-Street lights,SAMBIT PATRA,PURI,Odisha,Installation of Solar Light at Creamation Ground.,Installation of Solar Light at Creamation Ground.,1.0,40000.0,40000.0,2025-05-19,2025-09-02,106,False,Potentially Similar Work — Requires Human Verification
WS/MP18149/2025-2026/182981-Street lights,WS/MP18149/2025-2026/183223-Street lights,SAMBIT PATRA,PURI,Odisha,Installation of Solar Light at Creamation Ground.,Installation of Solar Light at Creamation Ground.,1.0,40000.0,40000.0,2025-05-19,2025-09-02,106,False,Potentially Similar Work — Requires Human Verification
WS/MP18149/2025-2026/182981-Street lights,WS/MP18149/2025-2026/183224-Street lights,SAMBIT PATRA,PURI,Odisha,Installation of Solar Light at Creamation Ground.,Installation of Solar Light at Creamation Ground.,1.0,40000.0,40000.0,2025-05-19,2025-09-02,106,False,Potentially Similar Work — Requires Human Verification
WS/MP18149/2025-2026/182981-Street lights,WS/MP18149/2025-2026/183225-Street lights,SAMBIT PATRA,PURI,Odisha,Installation of Solar Light at Creamation Ground.,Installation of Solar Light at Creamation Ground.,1.0,40000.0,40000.0,2025-05-19,2025-09-02,106,False,Potentially Similar Work — Requires Human Verification
