state,ida,total_works,total_sanction_amount,mean_work_amount,mean_risk_score,critical_high_count,critical_pct,state_avg_risk,risk_variance_vs_state,geographic_risk_score,geographic_reason
Andaman And Nicobar Islands,NORTH AND MIDDLE ANDAMAN(Implementing District Authority(N&MA)),2,4996416.0,2498208.0,55.55,0,0.0,50.07142857142857,5.478571428571428,40.0,District and IDA parameters match regional baseline standards.
Andaman And Nicobar Islands,SOUTH ANDAMANS(Implementing District Authority(SA)),5,13735928.0,2747185.6,47.88,0,0.0,50.07142857142857,-2.191428571428567,20.0,District and IDA parameters match regional baseline standards.
Andhra Pradesh,Alluri Sitharama Raju(DISTRICT COLLECTOR ALLURI SITHARAMARAJU_IDA),23,34628400.0,1505582.608695652,59.06521739130435,15,65.21739130434783,28.444475138121547,30.620742253182804,85.0,IDA average risk (59.1) is significantly higher than state baseline (28.4). | High concentration of flagged projects (65.2% critical/high risk).
Andhra Pradesh,Ananthapuramu(DISTRICT COLLECTOR ANANTAPUR_IDA),45,39966186.0,888137.4666666667,27.439999999999998,4,8.88888888888889,28.444475138121547,-1.004475138121549,20.0,District and IDA parameters match regional baseline standards.
Andhra Pradesh,Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA),67,23942394.0,357349.1641791045,18.202985074626863,0,0.0,28.444475138121547,-10.241490063494684,20.0,District and IDA parameters match regional baseline standards.
Andhra Pradesh,Bapatla(DISTRICT COLLECTOR BAPATLA_IDA),1,1000000.0,1000000.0,56.4,0,0.0,28.444475138121547,27.95552486187845,55.0,IDA average risk (56.4) is significantly higher than state baseline (28.4).
Andhra Pradesh,CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA),158,59684370.0,377749.17721518985,22.530379746835443,4,2.5316455696202533,28.444475138121547,-5.914095391286104,30.0,Unusually high project concentration (158 works sanctioned).
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema(DISTRICT COLLECTOR Dr B R AMBEDKAR KONASEEMA_IDA),15,35966597.0,2397773.1333333333,23.62,0,0.0,28.444475138121547,-4.824475138121546,20.0,District and IDA parameters match regional baseline standards.
Andhra Pradesh,"EAST GODAVARI(DISTRICT COLLECTOR, EAST GODAVARI)",22,64250000.0,2920454.5454545454,42.14545454545455,0,0.0,28.444475138121547,13.700979407333001,40.0,IDA average risk (42.1) is significantly higher than state baseline (28.4).
Andhra Pradesh,Eluru(DISTRICT COLLECTOR ELURU_IDA),61,41569092.0,681460.524590164,68.80327868852459,49,80.32786885245902,28.444475138121547,40.35880355040304,85.0,IDA average risk (68.8) is significantly higher than state baseline (28.4). | High concentration of flagged projects (80.3% critical/high risk).
Andhra Pradesh,GUNTUR(DISTRICT COLLECTOR GUNTUR_IDA),22,32472812.0,1476036.9090909092,53.777272727272724,5,22.727272727272727,28.444475138121547,25.332797589151177,70.0,IDA average risk (53.8) is significantly higher than state baseline (28.4). | High concentration of flagged projects (22.7% critical/high risk).
Andhra Pradesh,KRISHNA(DISTRICT COLLECTOR KRISHNA_IDA),17,16033559.0,943150.5294117647,42.21176470588235,5,29.411764705882355,28.444475138121547,13.767289567760805,70.0,IDA average risk (42.2) is significantly higher than state baseline (28.4). | High concentration of flagged projects (29.4% critical/high risk).
Andhra Pradesh,KURNOOL(DISTRICT COLLECTOR KURNOOL_IDA),82,26381594.0,321726.756097561,19.94878048780488,0,0.0,28.444475138121547,-8.495694650316668,30.0,District and IDA parameters match regional baseline standards.
Andhra Pradesh,Kakinada(DISTRICT COLLECTOR KAKINADA_IDA),13,21220164.0,1632320.3076923077,28.492307692307694,0,0.0,28.444475138121547,0.04783255418614729,20.0,District and IDA parameters match regional baseline standards.
Andhra Pradesh,Nandyal(DISTRICT COLLECTOR NANDYAL_IDA),76,37423392.0,492413.05263157893,23.594736842105263,6,7.894736842105263,28.444475138121547,-4.849738296016284,30.0,District and IDA parameters match regional baseline standards.
Andhra Pradesh,PRAKASAM(DISTRICT COLLECTOR PRAKASAM_IDA),3,4105400.0,1368466.6666666667,38.86666666666667,0,0.0,28.444475138121547,10.42219152854512,40.0,IDA average risk (38.9) is significantly higher than state baseline (28.4).
