work_id,state,ida,mp_name,constituency,work_category,work_description_clean,recommended_dt,sanction_dt,sanction_amount,sanction_delay_days,work_status,anomaly_label,anomaly_score,risk_score,risk_level,anomaly_reason
WS/MP352/2025-2026/138758-Construction of public libraries and reading rooms,Kerala,ERNAKULAM(DISTRICT COLLECTOR ERNAKULAM_IDA),Shri Hibi Eden,ERNAKULAM,Trust and Society,"Construction of Building for Eroor Grameena Vayanashala at Ward 48, Tripunithura Muncipality",2024-09-04,2026-01-07,5000000.0,490,Sanction,-1,-0.15636637410839238,100.0,Critical,"Sanction amount (₹ 5,000,000) is 6.2x higher than the typical amount for work category 'Trust and Society'. | Severe sanction delay of 490 days (> 1 year) between recommendation and approval. | Work belongs to special category 'Trust and Society' requiring heightened compliance verification."
WS/MP18159/2025-2026/194372-Construction of community centers and community halls,Rajasthan,ALWAR(DISTRICT COLLECTOR ALWAR_IDA),BHUPENDER YADAV,ALWAR,Trust and Society,"Dr. Bhimrao Gyan Prakash Samiti, District Alwar (Rajasthan) Building construction work on the second floor of Mata Ramabai Ambedkar Girls Hostel in Ambedkar Nagar D-Block, Alwar.",2025-04-25,2025-09-12,5000000.0,140,Work partially Completed,-1,-0.1457516467055474,95.9,Critical,"Sanction amount (₹ 5,000,000) is 6.2x higher than the typical amount for work category 'Trust and Society'. | Work belongs to special category 'Trust and Society' requiring heightened compliance verification."
"WS/MP18198/2025-2026/193991-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,PRAYAGRAJ(DISTRICT MAGISTRAE ALLAHABAD_IDA),UJJWAL RAMAN SINGH,ALLAHABAD,Repair and Renovation,Roads work,2025-04-23,2025-07-15,9860000.0,83,Work Completed,-1,-0.145077022178708,95.7,Critical,"Sanction amount (₹ 9,860,000) is 19.8x higher than the typical amount for work category 'Repair and Renovation'."
WS/MP431/2026-2027/149155-Construction of community centers and community halls,Haryana,HISAR(DEPUTY COMMISSIONER HISSAR_IDA),Rao Inderjit Singh,GURGAON,Trust and Society,"Completion of 3rd Floor Construction, Yadav Dharmshala, and Installation of Rooftop Solar Power Plant",2024-10-23,2026-05-21,1499787.0,575,Sanction,-1,-0.1430395617234579,94.9,Critical,"Sanction amount (₹ 1,499,787) is 4.3x higher than the median sanction amount in Haryana. | Severe sanction delay of 575 days (> 1 year) between recommendation and approval. | Work belongs to special category 'Trust and Society' requiring heightened compliance verification."
WS/MP18337/2025-2026/156920-Construction of public irrigation facilities,Kerala,THRISSUR(DISTRICT COLLECTOR THRISSUR_IDA),K RADHAKRISHNAN,ALATHUR(SC),Repair and Renovation,RENOVATION AND  REPAIR OF  CHEERAKUZHI  IRRIGATION PROJECT  CANAL,2024-12-04,2025-05-28,5000000.0,175,Sanction,-1,-0.1392258200329105,93.4,Critical,"Sanction amount (₹ 5,000,000) is 10.0x higher than the typical amount for work category 'Repair and Renovation'."
WS/MP18062/2026-2027/156120-Construction of community centers and community halls,Haryana,HISAR(DEPUTY COMMISSIONER HISSAR_IDA),JAI PARKASH,HISAR,Trust and Society,CONST. WORKS IN GURU DAKSH PARJAPATI DHARAMSALA NARNAUND,2024-11-30,2026-07-06,499708.0,583,Vendor Identification,-1,-0.13902609179679437,93.3,Critical,Severe sanction delay of 583 days (> 1 year) between recommendation and approval. | Work belongs to special category 'Trust and Society' requiring heightened compliance verification.
"WS/MP478/2025-2026/176954-Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers",Uttarakhand,TEHRI GARHWAL(DISTRICT MAGISTRATE TEHRI GARHWAL_IDA),Mala Rajya Laxmi Shah,TEHRI GARHWAL,Trust and Society,"TELEMEDICINE SERVICS IN DISTIRICT TEHRI GARHWAL,",2025-03-11,2025-05-02,5000000.0,52,Work partially Completed,-1,-0.13301511278259126,91.0,Critical,"Sanction amount (₹ 5,000,000) is 6.2x higher than the typical amount for work category 'Trust and Society'. | Work belongs to special category 'Trust and Society' requiring heightened compliance verification."
WS/MP18271/2025-2026/167573-Construction of community centers and community halls,West Bengal,North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA),JAGADISH CHANDRA BARMA BASUNIA,COOCHBEHAR(SC),Repair and Renovation,Construction for Strengthening and retrofitting structural works including other allied works of Cooch Behar Bhawan 2nd Floor at Ward No.31 of Bidhannagar Municipality Sector 1 Bidhannagar Kolkata West Bengal 700064,2025-01-21,2025-08-22,5000000.0,213,Vendor Identification,-1,-0.1274653668255329,88.9,Critical,"Sanction amount (₹ 5,000,000) is 10.0x higher than the typical amount for work category 'Repair and Renovation'."
WS/MP591/2025-2026/197032-Construction of additional rooms and halls in the existing public and community building,Haryana,JAIPUR(DISTRICT COLLECTOR JAIPUR_IDA),Krishan Pal Gurjar,FARIDABAD,Trust and Society,Construction of Additional Hall,2025-05-06,2026-01-27,2100000.0,266,Work partially Completed,-1,-0.12530934444466868,88.1,Critical,"Sanction amount (₹ 2,100,000) is 2.6x higher than the typical amount for work category 'Trust and Society'. | Sanction delay (266 days) is 3.6x higher than the typical approval time for authority 'JAIPUR(DISTRICT COLLECTOR JAIPUR_IDA)'. | Work belongs to special category 'Trust and Society' requiring heightened compliance verification."
WS/MP507/2025-2026/196288-Lighting of public spaces,Uttar Pradesh,KANPUR NAGAR(DISTRICT MAGISTRAE KANPUR NAGAR_IDA),Ashok Kumar Rawat,MISRIKH(SC),Normal/Others,SUPPLY AND INSTALLATION OF LED SEMI HIGH MAST LIGHT AT 1 to 158 DIFFERENT PLACES,2025-05-03,2025-06-26,47472048.0,54,Work partially Completed,-1,-0.12387166138010552,87.5,Critical,"Sanction amount (₹ 47,472,048) is 158.2x higher than the typical amount for work category 'Normal/Others'. | Sanction delay (54 days) is 6.0x higher than the typical approval time for authority 'KANPUR NAGAR(DISTRICT MAGISTRAE KANPUR NAGAR_IDA)'."
