mp_norm,mp_name_works,state,total_sanctioned_amount,number_of_works,average_work_amount,maximum_work_amount,allocated_amt,allocated_amount,is_allocation_matched,utilization_percentage,remaining_amount,utilization_alert,fund_utilization_score
aashtikar patil nagesh bapurao,AASHTIKAR PATIL NAGESH BAPURAO,Maharashtra,52720638.0,29,1817953.0344827587,7938332.0,190289442.0,190289442.0,True,27.70549823778452,137568804.0,NORMAL,15.0
abdul rashid sheikh,ABDUL RASHID SHEIKH,Jammu And Kashmir,10394620.0,21,494981.90476190473,1900000.0,154773472.11,154773472.11,True,6.716021717605698,144378852.11,NORMAL,15.0
abhay kumar sinha,ABHAY KUMAR SINHA,Bihar,71965963.0,146,492917.55479452055,1500000.0,147000000.0,147000000.0,True,48.95643741496599,75034037.0,NORMAL,15.0
abhijit gangopadhyay,ABHIJIT GANGOPADHYAY,West Bengal,29365012.78,85,345470.7385882353,1000000.0,147000000.0,147000000.0,True,19.97619917006803,117634987.22,NORMAL,15.0
abhishek banerjee,Shri Abhishek Banerjee,West Bengal,48618624.0,157,309672.7643312102,1500000.0,147000000.0,147000000.0,True,33.07389387755102,98381376.0,NORMAL,15.0
abu taher khan,Abu Taher Khan,West Bengal,33903163.0,176,192631.60795454544,2386402.0,147000000.0,147000000.0,True,23.06337619047619,113096837.0,NORMAL,15.0
adhikari soumendu,ADHIKARI SOUMENDU,West Bengal,48521123.0,41,1183442.024390244,3239337.0,147000000.0,147000000.0,True,33.00756666666666,98478877.0,NORMAL,15.0
aditya yadav,ADITYA YADAV,Uttar Pradesh,48412573.0,65,744808.8153846153,2467000.0,147000000.0,147000000.0,True,32.9337231292517,98587427.0,NORMAL,15.0
adoor prakash,Adv Adoor Prakash,Kerala,39093073.0,150,260620.48666666666,1000000.0,147000000.0,147000000.0,True,26.593927210884356,107906927.0,NORMAL,15.0
afzal ansari,AFZAL ANSARI,Uttar Pradesh,71383841.0,97,735915.8865979381,3368957.0,220500000.0,220500000.0,True,32.37362403628118,149116159.0,NORMAL,15.0
aga syed ruhullah mehdi,AGA SYED RUHULLAH MEHDI,Jammu And Kashmir,24939532.0,59,422703.9322033898,2500000.0,147000000.0,147000000.0,True,16.965668027210885,122060468.0,NORMAL,15.0
ajay bhatt,Ajay Bhatt,Uttarakhand,37459330.0,139,269491.582733813,700000.0,147000000.0,147000000.0,True,25.48253741496599,109540670.0,NORMAL,15.0
ajay kumar mandal,Ajay Kumar Mandal,Bihar,15898477.0,15,1059898.4666666666,1490000.0,147000000.0,147000000.0,True,10.815290476190476,131101523.0,NORMAL,15.0
ajay tamta,Ajay Tamta,Uttarakhand,1700000.0,3,566666.6666666666,1000000.0,147000000.0,147000000.0,True,1.1564625850340136,145300000.0,NORMAL,15.0
ajendra singh lodhi,AJENDRA SINGH LODHI,Uttar Pradesh,49728000.0,77,645818.1818181818,2499000.0,147000000.0,147000000.0,True,33.82857142857143,97272000.0,NORMAL,15.0
akhilesh yadav,AKHILESH YADAV,Uttar Pradesh,15171778.0,15,1011451.8666666667,2225000.0,147000000.0,147000000.0,True,10.320937414965986,131828222.0,NORMAL,15.0
akshaya yadav,AKSHAYA YADAV,Uttar Pradesh,96154158.0,42,2289384.714285714,9511630.0,147000000.0,147000000.0,True,65.4109918367347,50845842.0,NORMAL,15.0
alfred kanngam s arthur,ALFRED KANNGAM S ARTHUR,Manipur,39751963.0,17,2338350.7647058824,11000000.0,147000000.0,147000000.0,True,27.04215170068027,107248037.0,NORMAL,15.0
alok kumar suman,Alok Kumar Suman,Bihar,39245507.0,38,1032776.5,1483490.0,147000000.0,147000000.0,True,26.697623809523808,107754493.0,NORMAL,15.0
alok sharma,ALOK SHARMA,Madhya Pradesh,21159254.0,23,919967.5652173914,5000000.0,147000000.0,147000000.0,True,14.394050340136054,125840746.0,NORMAL,15.0
amar sharadrao kale,AMAR SHARADRAO KALE,Maharashtra,32933040.0,41,803244.8780487805,2500000.0,147000000.0,147000000.0,True,22.40342857142857,114066960.0,NORMAL,15.0
amar singh,Shri Amar Singh,Punjab,16136624.0,48,336179.6666666667,1996215.0,147000000.0,147000000.0,True,10.97729523809524,130863376.0,NORMAL,15.0
amarsing tisso,AMARSING TISSO,Assam,47283742.0,51,927132.1960784313,5000000.0,147000000.0,147000000.0,True,32.16581088435374,99716258.0,NORMAL,15.0
