work_id,state,ida,mp_name,constituency,work_category,work_description_clean,recommended_dt,sanction_dt,sanction_amount,sanction_delay_days,duplicate_similarity_score,similar_work_id,is_duplicate_flag,mp_allocated_limit,mp_total_sanctioned,mp_utilization_pct,work_status,anomaly_label,anomaly_score,risk_score,risk_level,shap_top_attribution,anomaly_reason
WS/  MP620/2024-2025/133166-Construction of buildings for community cultural activities,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Normal/Others,Construction of Community Bhavan at Navalgund TQ Belavatagi Village Pry No 1/A Near Shivanand Math Continue Work,2024-07-08,2024-07-09,497185.0,1,0.1179,WS/  MP620/2026-2027/183996-Construction of buildings for community cultural activities,False,147000000.0,13261770.0,9.02,Physical Inspection,1,0.056003821091406614,12.8,Low,state_Karnataka (-1.6487),Standard project parameters within normal baseline limits.
WS/  MP620/2025-2026/133167-Construction of rooms and halls in school and colleges,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Trust and Society,Construction of College room of  CBS Charitable Foudation at Nulvi Vilage Pry No 817/3 Continued work,2024-07-08,2025-09-18,500000.0,437,0.0791,WS/  MP620/2024-2025/133309-Construction of buildings for community cultural activities,False,147000000.0,13261770.0,9.02,Sanction,-1,-0.08196159469639075,42.0,Medium,work_category_Normal/Others (-1.9202),Work belongs to special category 'Trust and Society' requiring heightened compliance verification. | Severe sanction delay of 437 days (> 1 year) between recommendation and approval.
WS/  MP620/2024-2025/133190-Construction of buildings for community cultural activities,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Trust and Society,Construction of Community Bhavan of Veerashaiv Jangam Society (R) at Ward No 21 Chidamarnagar Dharwad,2024-07-08,2024-09-23,450000.0,77,0.1005,WS/  MP620/2024-2025/167956-Construction of community centers and community halls,False,147000000.0,13261770.0,9.02,Sanction,-1,-0.037966859862288704,35.0,Low,work_category_Normal/Others (-2.037),Work belongs to special category 'Trust and Society' requiring heightened compliance verification.
WS/  MP620/2025-2026/133191-Construction of buildings for community cultural activities,Karnataka,HAVERI(DEPUTY COMMISSIONER HAVERI_IDA),Pralhad Venkatesh Joshi,DHARWAD,Normal/Others,Construction of Maremma Cultural bhavan at Neerlgudda village Shiggava TQ,2024-07-08,2025-05-29,1500000.0,325,0.0795,WS/  MP620/2024-2025/133301-Construction of buildings for community cultural activities,False,147000000.0,13261770.0,9.02,Work partially Completed,-1,-0.006720418947017026,22.5,Low,state_Karnataka (-1.5877),"Sanction amount (₹ 1,500,000) is 5.0x higher than the typical amount for work category 'Normal/Others'. | Sanction delay (325 days) is 3.1x higher than the typical approval time for authority 'HAVERI(DEPUTY COMMISSIONER HAVERI_IDA)'."
WS/  MP620/2024-2025/133301-Construction of buildings for community cultural activities,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Normal/Others,"Construction of Cultural Bhavan at Kundagol TQ, Chickgungal Village ST Colony, Pry No.202",2024-07-09,2024-08-22,398009.0,44,0.1144,WS/  MP620/2025-2026/167939-Construction of community centers and community halls,False,147000000.0,13261770.0,9.02,Physical Inspection,1,0.05922692866673174,12.1,Low,state_Karnataka (-1.667),Standard project parameters within normal baseline limits.
WS/  MP620/2024-2025/133303-Construction of buildings for community cultural activities,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Normal/Others,Construction of Community Hall at Uppinbetageri Village Near Mallikarjun Temple Pry No1151,2024-07-09,2024-07-25,399104.0,16,0.4451,WS/  MP620/2024-2025/133306-Construction of buildings for community cultural activities,False,147000000.0,13261770.0,9.02,Physical Inspection,1,0.05823238501653161,22.2,Low,state_Karnataka (-1.6471),Standard project parameters within normal baseline limits.
WS/  MP620/2024-2025/133304-Construction of buildings for community cultural activities,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Normal/Others,Construction of Community Hall at Shibargatti Village Near Hanamanth Temple Pry No 96,2024-07-09,2024-08-22,396154.0,44,0.148,WS/  MP620/2024-2025/133303-Construction of buildings for community cultural activities,False,147000000.0,13261770.0,9.02,Physical Inspection,1,0.05922692866673174,13.1,Low,state_Karnataka (-1.667),Standard project parameters within normal baseline limits.
WS/  MP620/2025-2026/133305-Construction of buildings for community cultural activities,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Normal/Others,Construction of Community Hall at Hosategur Village Near Shri Girimalleshwar Math Pry No 518 Continue work,2024-07-09,2025-06-03,400000.0,329,0.1115,WS/  MP620/2024-2025/133166-Construction of buildings for community cultural activities,False,147000000.0,13261770.0,9.02,Sanction,1,0.015958898468166005,19.5,Low,state_Karnataka (-1.6018),Sanction delay (329 days) is 5.1x higher than the typical approval time for authority 'DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA)'.
WS/  MP620/2024-2025/133306-Construction of buildings for community cultural activities,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Normal/Others,Construction of Community Hall at Kardigudda Village Near Mallikarjun Temple Pry No 451/2,2024-07-09,2025-03-14,495627.0,248,0.4451,WS/  MP620/2024-2025/133303-Construction of buildings for community cultural activities,False,147000000.0,13261770.0,9.02,Physical Inspection,1,0.045928972403077084,24.3,Low,state_Karnataka (-1.6849),Sanction delay (248 days) is 3.9x higher than the typical approval time for authority 'DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA)'.
WS/  MP620/2024-2025/133307-Construction of buildings for community cultural activities,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Normal/Others,Construction of Community Hall at Tadakod Village Near Vittal Temple Pry No 319,2024-07-09,2024-08-17,398955.0,39,0.148,WS/  MP620/2024-2025/133303-Construction of buildings for community cultural activities,False,147000000.0,13261770.0,9.02,Physical Inspection,1,0.05800741315002916,13.3,Low,state_Karnataka (-1.6717),Standard project parameters within normal baseline limits.
WS/  MP620/2024-2025/133308-Construction of buildings for community cultural activities,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Normal/Others,Construction of Community Hall at Mulmuttal Village Near Beereshwar Temple Pry No 67,2024-07-09,2024-08-17,399304.0,39,0.4451,WS/  MP620/2024-2025/133312-Construction of buildings for community cultural activities,False,147000000.0,13261770.0,9.02,Physical Inspection,1,0.05800741315002916,22.2,Low,state_Karnataka (-1.6717),Standard project parameters within normal baseline limits.
WS/  MP620/2024-2025/133309-Construction of buildings for community cultural activities,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Normal/Others,Construction of Community Hall at Nigadi Village Near Kalmeshwar Temple Pry No 101 Continued work,2024-07-09,2025-03-14,495031.0,248,0.1869,WS/  MP620/2024-2025/144765-Construction of buildings for community cultural activities,False,147000000.0,13261770.0,9.02,Physical Inspection,1,0.04618616895740635,16.5,Low,state_Karnataka (-1.6809),Sanction delay (248 days) is 3.9x higher than the typical approval time for authority 'DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA)'.
WS/  MP620/2024-2025/133310-Construction of buildings for community cultural activities,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Normal/Others,Construction of Cultural Bhavan at Parsapur Village Near Hanuman Temple Pry No 107,2024-07-09,2024-08-22,247583.0,44,0.1616,WS/  MP620/2024-2025/133311-Construction of buildings for community cultural activities,False,147000000.0,13261770.0,9.02,Physical Inspection,1,0.061375406276136524,13.2,Low,state_Karnataka (-1.6682),Standard project parameters within normal baseline limits.
WS/  MP620/2024-2025/133311-Construction of buildings for community cultural activities,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Normal/Others,Construction of Cultural Bhavan at Chabbi Village Near Vithobha Temple Pry No 266/A,2024-07-09,2024-08-22,250000.0,44,0.1616,WS/  MP620/2024-2025/133310-Construction of buildings for community cultural activities,False,147000000.0,13261770.0,9.02,Sanction,1,0.0437578894451936,16.2,Low,state_Karnataka (-1.58),Standard project parameters within normal baseline limits.
WS/  MP620/2024-2025/133312-Construction of buildings for community cultural activities,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Normal/Others,Construction of Community Hall at Ayahatti Village Near Beereshwar Temple Pry No 34,2024-07-09,2024-07-25,498091.0,16,0.4451,WS/  MP620/2024-2025/133308-Construction of buildings for community cultural activities,False,147000000.0,13261770.0,9.02,Physical Inspection,1,0.061118185606147735,21.7,Low,state_Karnataka (-1.6487),Standard project parameters within normal baseline limits.
