work_id,state,ida,mp_name,constituency,work_category,work_description_clean,recommended_dt,sanction_dt,sanction_amount,sanction_delay_days,work_status,v1_anomaly_score,cost_anomaly_score,delay_anomaly_score,duplicate_score,fund_utilization_score,v1_contrib,cost_contrib,delay_contrib,duplicate_contrib,fund_contrib,base_weighted_sum,max_signal,composite_risk_score,risk_level,risk_reasons
WS/MP827/2025-2026/152382-Construction of community centers and community halls,West Bengal,PASCHIM BARDHAMAN(DISTRICT MAGISTRATE PASCHIM BARDHAMAN_IDA),Shatrughan Sinha,ASANSOL,Normal/Others,Construction of New Community Hall.,2024-11-14,2026-02-06,6000000.0,449,Sanction,87.4,15.0,100.0,100.0,15.0,34.96,2.25,15.0,15.0,2.25,69.46000000000001,100.0,87.8,Critical,🔴 Delay anomaly: Recommendation-to-sanction lag of 449 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification. | 🔴 Anomaly signal: Overall statistical outlier pattern detected by Isolation Forest.
WS/MP18086/2026-2027/171271-Construction of community centers and community halls,Karnataka,CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR),SHREYAS. M. PATEL,HASSAN,Repair and Renovation,SAARVAJANIKA SAMUDAYA BHAVANA DEVELOPMENT WORK AT KADUR TALUK HIRENALLURU GRAMA PANCHAYATH  HIRENALLURU VILLAGE 2024-25,2025-02-03,2026-05-16,1000000.0,467,Work partially Completed,71.6,15.0,100.0,100.00000000000007,15.0,28.64,2.25,15.0,15.0,2.25,63.14,100.00000000000007,85.3,Critical,🔴 Delay anomaly: Recommendation-to-sanction lag of 467 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.
WS/MP352/2025-2026/138758-Construction of public libraries and reading rooms,Kerala,ERNAKULAM(DISTRICT COLLECTOR ERNAKULAM_IDA),Shri Hibi Eden,ERNAKULAM,Trust and Society,"Construction of Building for Eroor Grameena Vayanashala at Ward 48, Tripunithura Muncipality",2024-09-04,2026-01-07,5000000.0,490,Sanction,100.0,15.0,100.0,0.0,15.0,40.0,2.25,15.0,0.0,2.25,59.5,100.0,83.8,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 490 days. | 🟠 Category signal: Special entity category 'Trust and Society'. | 🔴 Anomaly signal: Overall statistical outlier pattern detected by Isolation Forest.
WS/MP431/2026-2027/149155-Construction of community centers and community halls,Haryana,HISAR(DEPUTY COMMISSIONER HISSAR_IDA),Rao Inderjit Singh,GURGAON,Trust and Society,"Completion of 3rd Floor Construction, Yadav Dharmshala, and Installation of Rooftop Solar Power Plant",2024-10-23,2026-05-21,1499787.0,575,Sanction,94.9,15.0,100.0,0.0,15.0,37.96,2.25,15.0,0.0,2.25,57.46,100.0,83.0,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 575 days. | 🟠 Category signal: Special entity category 'Trust and Society'. | 🔴 Anomaly signal: Overall statistical outlier pattern detected by Isolation Forest.
WS/MP18062/2026-2027/156120-Construction of community centers and community halls,Haryana,HISAR(DEPUTY COMMISSIONER HISSAR_IDA),JAI PARKASH,HISAR,Trust and Society,CONST. WORKS IN GURU DAKSH PARJAPATI DHARAMSALA NARNAUND,2024-11-30,2026-07-06,499708.0,583,Vendor Identification,93.3,15.0,100.0,0.0,15.0,37.32,2.25,15.0,0.0,2.25,56.82,100.0,82.7,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 583 days. | 🟠 Category signal: Special entity category 'Trust and Society'. | 🔴 Anomaly signal: Overall statistical outlier pattern detected by Isolation Forest.
WS/MP18148/2026-2027/181887-Construction of rooms and halls in school and colleges,Odisha,KORAPUT(District Collector Koraput_IDA),BALABHADRA MAJHI,NABARANGPUR(ST),Trust and Society,"Construction of additional class room at Saraswati Sishu Bidya Mandir, Kundra",2025-06-20,2026-07-21,500000.0,396,Sanction,76.2,15.0,100.0,37.377131283467726,15.0,30.48,2.25,15.0,5.6066,2.25,55.586600000000004,100.0,82.2,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 396 days. | 🟠 Category signal: Special entity category 'Trust and Society'. | 🔴 Anomaly signal: Overall statistical outlier pattern detected by Isolation Forest.
WS/MP827/2025-2026/152381-Construction of community centers and community halls,West Bengal,PASCHIM BARDHAMAN(DISTRICT MAGISTRATE PASCHIM BARDHAMAN_IDA),Shatrughan Sinha,ASANSOL,Normal/Others,Construction of New Community Hall at Rangamati village,2024-11-14,2026-02-06,6000000.0,449,Sanction,87.4,15.0,100.0,0.0,15.0,34.96,2.25,15.0,0.0,2.25,54.46,100.0,81.8,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 449 days. | 🔴 Anomaly signal: Overall statistical outlier pattern detected by Isolation Forest.
WS/MP18086/2025-2026/171273-Construction of community centers and community halls,Karnataka,CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR),SHREYAS. M. PATEL,HASSAN,Repair and Renovation,SAARVAJANIKA SAMUDAYA BHAVANA DEVELOPMENT WORK AT KADUR TALUK HIRENALLURU GRAMA PANCHAYATH HIRENALLURU VILLAGE 2024-25,2025-02-03,2026-01-30,1000000.0,361,Physical Inspection,58.2,15.0,75.0,100.00000000000007,15.0,23.28,2.25,11.25,15.0,2.25,54.03,100.00000000000007,81.6,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 361 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.
WS/MP243/2025-2026/141110-Construction of rooms and halls in school and colleges,West Bengal,North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA),Kakoli Ghosh Dastidar,BARASAT,Normal/Others,2 storied building for skill development centre,2024-09-15,2025-11-25,11000000.0,436,Work partially Completed,85.4,15.0,100.0,0.0,15.0,34.16,2.25,15.0,0.0,2.25,53.66,100.0,81.5,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 436 days. | 🔴 Anomaly signal: Overall statistical outlier pattern detected by Isolation Forest.
WS/MP18062/2026-2027/156112-Construction of community centers and community halls,Haryana,HISAR(DEPUTY COMMISSIONER HISSAR_IDA),JAI PARKASH,HISAR,Trust and Society,construction works in shri guru ravidas chhatrawas ward no 5 barwala,2024-11-30,2026-05-14,498031.0,530,Sanction,85.2,15.0,100.0,0.0,15.0,34.08,2.25,15.0,0.0,2.25,53.58,100.0,81.4,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 530 days. | 🟠 Category signal: Special entity category 'Trust and Society'. | 🔴 Anomaly signal: Overall statistical outlier pattern detected by Isolation Forest.
